logical_transaction_id,razorpay_record_id,bank_record_id,ledger_record_id,expected_relationship
L_A_0,set_356787,txn_81482,inv_356787,exact_match
L_A_1,set_571029,txn_10851,,exact_match
L_A_2,set_476417,txn_15695,inv_476417,exact_match
L_A_3,set_705397,txn_47930,inv_705397,exact_match
L_A_4,set_802729,txn_32431,inv_802729,exact_match
L_A_5,set_905635,txn_51347,inv_905635,exact_match
L_A_6,set_358607,txn_86622,inv_358607,exact_match
L_A_7,set_260265,txn_65333,inv_260265,exact_match
L_A_8,set_663054,txn_54587,inv_663054,exact_match
L_A_9,set_412942,txn_36071,inv_412942,exact_match
L_A_10,set_972064,txn_84364,inv_972064,exact_match
L_A_11,set_676510,txn_80686,inv_676510,exact_match
L_A_12,set_226882,txn_87110,inv_226882,exact_match
L_A_13,set_349565,txn_84847,,exact_match
L_A_14,set_531071,txn_98259,inv_531071,exact_match
L_A_15,set_570405,txn_19880,,exact_match
L_A_16,set_890170,txn_73092,,exact_match
L_A_17,set_577110,txn_38534,inv_577110,exact_match
L_A_18,set_159642,txn_18981,,exact_match
L_A_19,set_749468,txn_36772,,exact_match
L_B_0,set_888387,txn_80468,,amount_date_match
L_B_1,set_265409,txn_90173,,amount_date_match
L_B_2,set_413921,txn_25129,,amount_date_match
L_B_3,set_852470,txn_44600,,amount_date_match
L_B_4,set_146228,txn_31178,,amount_date_match
L_B_5,set_824586,txn_58393,,amount_date_match
L_B_6,set_934794,txn_99399,,amount_date_match
L_B_7,set_750810,txn_31299,,amount_date_match
L_B_8,set_448321,txn_42527,,amount_date_match
L_B_9,set_956253,txn_39831,,amount_date_match
L_C_0,set_392683,txn_99065|txn_13617,inv_392683,fee_tax_split
L_C_1,set_462479,txn_89457|txn_85574,inv_462479,fee_tax_split
L_C_2,set_446239,txn_26334|txn_50538,inv_446239,fee_tax_split
L_C_3,set_497562,txn_90676|txn_10053,inv_497562,fee_tax_split
L_C_4,set_563638,txn_32241|txn_97012,inv_563638,fee_tax_split
L_C_5,set_308802,txn_90120|txn_64321,inv_308802,fee_tax_split
L_C_6,set_787926,txn_23970|txn_77889,inv_787926,fee_tax_split
L_C_7,set_800005,txn_51588|txn_90301,inv_800005,fee_tax_split
L_C_8,set_597732,txn_93579|txn_45992,inv_597732,fee_tax_split
L_C_9,set_258157,txn_18418|txn_71069,inv_258157,fee_tax_split
L_D_0,set_703655,txn_49139,inv_703655,date_mismatch
L_D_1,set_386193,txn_97670,inv_386193,date_mismatch
L_D_2,set_720644,txn_27786,inv_720644,date_mismatch
L_D_3,set_542042,txn_80702,inv_542042,date_mismatch
L_D_4,set_259784,txn_83920,inv_259784,date_mismatch
L_D_5,set_915573,txn_24168,inv_915573,date_mismatch
L_D_6,set_720859,txn_23356,inv_720859,date_mismatch
L_D_7,set_488571,txn_74251,inv_488571,date_mismatch
L_D_8,set_383201,txn_73372,inv_383201,date_mismatch
L_D_9,set_886931,txn_59674,inv_886931,date_mismatch
L_E_0,set_725113,,inv_725113,missing_bank_record
L_E_1,set_612311,,inv_612311,missing_bank_record
L_E_2,set_408528,,inv_408528,missing_bank_record
L_F_0,,txn_82140,inv_882169,missing_razorpay_record
L_F_1,,txn_80236,inv_225362,missing_razorpay_record
L_F_2,,txn_88222,inv_650121,missing_razorpay_record
L_G_0,set_232731,txn_26551|txn_11607,inv_232731|inv_232731,duplicate
L_G_1,set_177680,txn_29887|txn_64548,inv_177680|inv_177680,duplicate
L_G_2,set_549660,txn_89905|txn_44687,inv_549660|inv_549660,duplicate
L_H_0,set_402099|set_576086|set_377405,txn_94886,,batched_settlement
L_H_1,set_723948|set_402630|set_418862,txn_52247,,batched_settlement
L_H_2,set_703139|set_901909|set_142185,txn_21959,,batched_settlement
L_I_0,ref_999398,txn_47777,inv_999398,refund
L_I_1,ref_221552,txn_77449,inv_221552,refund
L_I_2,ref_755788,txn_81987,inv_755788,refund
L_I_3,ref_114338,txn_70482,inv_114338,refund
L_I_4,ref_386706,txn_71894,inv_386706,refund
L_I_5,ref_389666,txn_54548,inv_389666,refund
L_J_0_1,set_791998,txn_59441,,ambiguous_1
L_J_0_2,set_255813,txn_52176,,ambiguous_2
L_J_1_1,set_344907,txn_96991,,ambiguous_1
L_J_1_2,set_530728,txn_95461,,ambiguous_2
L_J_2_1,set_232378,txn_63736,,ambiguous_1
L_J_2_2,set_718849,txn_30232,,ambiguous_2
L_J_3_1,set_516791,txn_92155,,ambiguous_1
L_J_3_2,set_993140,txn_73956,,ambiguous_2
L_J_4_1,set_346174,txn_68153,,ambiguous_1
L_J_4_2,set_401338,txn_13794,,ambiguous_2
